,Score
BZimm,(2.550180709695403+0j)
Riviere,(2.5471929589569093+0j)
mouse,(2.5350681246766946+0j)
gaR,(2.4841953290319427+0j)
Pixel,(2.4465934027047087+0j)
Molten,(2.436214194164349+0j)
Trock,(2.4258872986641347+0j)
Zeldafreak,(2.42203562408326+0j)
L3375,(2.391350166920488+0j)
Phrigid,(2.390631947614647+0j)
Awk,(2.3813432797321683+0j)
Saron,(2.375743060979955+0j)
Axcel,(2.366881314061523+0j)
Typhoon,(2.360693165212199+0j)
Frotaz,(2.3578612774593424+0j)
Kid,(2.3565195381972153+0j)
Semi,(2.353197917079002+0j)
E-tie,(2.3463287811824287+0j)
NotMe,(2.343294442204887+0j)
Kuyashi,(2.3429030592489966+0j)
Spoder,(2.335044743167705+0j)
Mantis,(2.28926474834726+0j)
Keams,(2.2849669508012926+0j)
BigWenz,(2.2713557038983154+0j)
TheAsianOne,(2.2675112888480555+0j)
bradday0429,(2.264026703283271+0j)
Fang,(2.203485728457766+0j)
Nero,(2.203307542741369+0j)
Dr. Z,(2.1859516757450264+0j)
ATM,(2.179426194488211+0j)
Caius,(2.1734459277664273+0j)
DeCoste in the Shell,(2.1584174709157464+0j)
Wndy,(2.1479475204331635+0j)
Ceja,(2.132303023842865+0j)
Crow,(2.128167201387332+0j)
Levingy,(2.108724945114382+0j)
ThisSideDown,(2.078038939443667+0j)
LilMitts,(2.077153002772777+0j)
Jbags,(2.044352431319818+0j)
Upke,(2.027072379099555+0j)
Sami,(2.0245778812324806+0j)
Renzo,(1.9912797512883813+0j)
Neeco,(1.9889823932613186+0j)
Timtheguy,(1.9800436610117949+0j)
timesink,(1.9716965733267031+0j)
metroid,(1.9710732582648323+0j)
DJSwerve,(1.9685266174073357+0j)
Nix,(1.9653873440064693+0j)
Girth,(1.9652855617978036+0j)
melodiic,(1.964929235883801+0j)
Lama,(1.9603505236952952+0j)
Keo,(1.9588391118446964+0j)
CDay,(1.953561573471024+0j)
Bigfish,(1.9399652136414218+0j)
Landon,(1.886040662362067+0j)
Kaeon,(1.8775598121609853+0j)
TomBoComBo,(1.8187446326775518+0j)
slangblade,(1.811483171717113+0j)
Googlyeyed,(1.80763651182082+0j)
Stylos,(1.7952427379619258+0j)
Shifty,(1.7697985866060186+0j)
Stiv,(1.7654928532091017+0j)
Beto,(1.752792844439469+0j)
Shoox,(1.7461933278726107+0j)
DomHynes,(1.7409838706398202+0j)
Ahmad,(1.7316226368938805+0j)
Steele,(1.730133161606842+0j)
Sable,(1.7298263757216348+0j)
Weenie Hut Sr.,(1.7273664997690599+0j)
Phloyd,(1.7217908479617448+0j)
chicken pizza,(1.690400618342288+0j)
Burning?,(1.6833207517007427+0j)
Sy,(1.681510972041138+0j)
Ultra,(1.6645293126224798+0j)
Chem,(1.6514266622165685+0j)
Vik,(1.6483444436367165+0j)
GranmasGotGame,(1.6362686667048996+0j)
Ladder,(1.6187184210113914+0j)
Rrob,(1.61739837565518+0j)
Neal,(1.6150164184332585+0j)
Lights,(1.611126121849427+0j)
ChucklesTheCheat,(1.606825386623449+0j)
dansdaman,(1.6018823499272905+0j)
FLiiNcHy,(1.5940504269425269+0j)
Cardinal,(1.5879477500407377+0j)
Mars,(1.5838520075767732+0j)
Dongmaster42069,(1.5651795905212227+0j)
Will,(1.5585417108769062+0j)
Betafish,(1.5547772906837563+0j)
meamking,(1.537693743352425+0j)
Air,(1.5311619767614424+0j)
Son2,(1.5196978356726314+0j)
SimbaShady,(1.5065736842611663+0j)
DNA,(1.4937324349281274+0j)
Inky,(1.4807452815249302+0j)
Cillit,(1.48050040794811+0j)
Drip,(1.4762631855128765+0j)
Silver,(1.461174630970305+0j)
DarkHero,(1.4446494851352494+0j)
Ampp,(1.439715179243561+0j)
Trichael Man,(1.4288223181800896+0j)
FezWa,(1.4281559788588094+0j)
Joey-Laces,(1.4254818362693364+0j)
Peanutphobia,(1.421009738297876+0j)
Miffee,(1.417514360027205+0j)
BooWho,(1.415781179142562+0j)
Yardsale,(1.4120376290881813+0j)
Fidel Castro,(1.3958264762255856+0j)
Able,(1.3864048599688417+0j)
YTW,(1.373667691770354+0j)
WTF,(1.370413641825924+0j)
WeenieHut_Jr,(1.3464778522227476+0j)
Amune,(1.317523810663575+0j)
Turtle,(1.3051768769615784+0j)
lynxwynx,(1.278807542093412+0j)
SmallHandsBrian,(1.24930720498012+0j)
LIlb,(1.2362807794276014+0j)
Fran,(1.2240135389159406+0j)
Caesar,(1.2235240506658362+0j)
CrossoverTim,(1.2199230705462725+0j)
Sunny,(1.2189314015797326+0j)
BirdPerson,(1.2134731910133354+0j)
crawfish,(1.2120929333929142+0j)
Profanity,(1.203732289065253+0j)
beld78,(1.2014733235453736+0j)
Dutch,(1.1976935046292594+0j)
Maximo,(1.1876132124671566+0j)
Gulu,(1.187588469184858+0j)
Crono,(1.185787701023476+0j)
God's Only Son,(1.1851677966430785+0j)
Basic Stitch,(1.1809980772143254+0j)
Beeftip,(1.176905254747929+0j)
Bobby Frizz,(1.1764301616090904+0j)
Halzyn,(1.1760628667469737+0j)
nosgov,(1.1653841747440232+0j)
Vehyos,(1.154417155797388+0j)
Dude,(1.1295796242172136+0j)
Subtle,(1.1253514371818971+0j)
Secrets,(1.1247802319238396+0j)
Nicky,(1.118713313355621+0j)
Komodo,(1.1146684970259528+0j)
RileyReads,(1.1011431289553917+0j)
MIDI,(1.098227868243209+0j)
LaRosa,(1.0953816101497633+0j)
Bee,(1.085892021677303+0j)
