,0
Athena Asamiya,0.913349445
Cannagar,0.911508348
melodiic,0.903508198
King,0.899576208
slangblade,0.895854322
Luan,0.892744596
CoolJamz,0.880122624
Hehemax,0.879767743
B.S,0.879675006
Port,0.877204908
Jada,0.876324457
AK47,0.871694177
metroid,0.868622015
Alan,0.858441792
Weenie Hut Sr.,0.857412119
Not Thor,0.857163339
Burning?,0.854281858
Cailan,0.845044372
Musgraves,0.842110186
Jerooney,0.841974768
Bugawuga,0.841697902
Neal,0.840876748
ScottGaming,0.840811911
C-Stik,0.839061721
Squeg,0.836967924
Postman Pat,0.835786137
Willy P,0.828973791
Carcosa,0.827096506
BasedFox,0.824597913
Chel,0.822849364
CrossoverTim,0.816604112
Cardinal,0.814204553
Lord Snackington,0.80252829
PT,0.79561542
bambi for the ps2,0.793572855
darkrai2,0.793357756
BirdPerson,0.789818003
NVZ,0.782006443
NotMe,0.778905695
meamking,0.774901409
Inspector Disrespector,0.773280949
Havok,0.768579656
FunnySunTADM,0.764960468
Studz,0.754331519
meister,0.751913928
Symbol,0.751201793
21Phantoms,0.748392924
Stan,0.745020549
Stus,0.737513499
Kairos,0.728136606
JBas,0.725163541
Fidel Castro,0.724684502
Snowy,0.723940763
Yardsale,0.701009772
Omegam,0.699381763
CPU0,0.698841889
Trihawk,0.697504062
Kia,0.697113298
Spiritor,0.692299235
Luigi Ka-Master,0.692131208
WTF,0.691978333
RC,0.681808161
kozi,0.680887033
Inky,0.679917538
HiFi,0.678998934
DamageControl,0.678488732
Lamp,0.675229097
Concussed,0.66923137
Jared,0.668281617
TommyHoods,0.6601061
Mova,0.659806081
Duman,0.658487185
Haky,0.658487185
PSIDuck,0.658487185
Focus,0.657308866
squible,0.653621657
END,0.647838931
shrub,0.637516136
WeenieHut_Jr,0.636677872
Halzyn,0.624036158
SmashBob SquarePants,0.622353513
Bigfish,0.615716275
Drip,0.61217852
Meatball,0.606273401
Hexjo,0.603675684
Able,0.599821042
Stockholm Syndrome,0.59500805
G Pipes,0.594595136
Bobby Frizz,0.592651411
