,Score
The Brig,53.07424886810651
FLiiNcHy,52.56819650056041
I'm Michael BTW,52.508307441627494
Biggestbrain,52.34181982306643
Asylum,52.26718089503511
Takyon,52.05342814971662
Karan,52.03353094072432
Anakin,52.02948607289528
GnomeDome,51.682911154220434
Beezy,51.53997029911077
Cinnaminion,51.53499719001775
Beck,51.27025855550541
Marlo,51.233316630154434
Jim Morrison,51.18621720005306
Slayer,50.98265269083893
Calle W,50.89431777965896
Boigan,50.60174666329345
DickJohnson,50.469764368667065
Tjen,50.14121124196002
Foxy Grandpa,50.04090881695045
FrankTheFisher,49.927299409396454
Acke,49.85009263736343
Sago,49.68346213858784
Aero,49.34159602863201
DeaconBlues,49.043574083793644
Espi,48.55385299628158
smartpant,48.51155876923151
LXIX,48.410460423240295
Sye,48.387433369741
tatuwah,48.33643846500149
eduardo,48.27268624893406
Good1ife,48.156049018435056
Limecat,48.02482713099619
shmugs,48.01560508983927
Kami Buckets,47.97456426933684
Yseul,47.95114022649697
Emps,47.90689794722701
TheAsianOne,47.858360161057604
GZB,47.68172221956546
Mr. Nice Guy,47.665029214841816
clomz0,47.66256174406698
Traplord,47.60233228197214
Ceja,47.50823306266554
moogle,47.50120430415023
nino,47.49376370230945
Fabe,47.20364041760369
Jah,47.157847781533036
JNaut,47.15521905790548
will1v1_ttv,46.9257584371325
Modentor,46.902851091050024
C0XX,46.78957500829982
Veldor,46.54054585324485
Raisem,46.48479572240375
Duo,46.12109842482277
Mellow,46.08044896022278
charliEEEEEEE,46.07157270690499
Sala,46.04907129204897
Wolf,46.03210310632524
BananaSack,45.91808827535519
Chi,45.90881601183933
aaron228375,45.85984204114712
Zepple,45.85862080617717
Sneker,45.856183682288176
NastyNinja,45.82785109032014
Microsoft J,45.81821235294596
beppo,45.805981306148055
Damo,45.691170854039974
Jerk,45.68944785247977
Kramer,45.53197791792577
Yug,45.113841755226474
Cyan,45.10623306048705
JF,45.027824539246815
lasse,44.86938930402335
Spinal,44.624673452251685
Falpan,44.57338050087184
DarkGenex,44.49365208003168
shabo,44.45646646183777
NoFuxGiven,44.43442298404693
Iceman,44.28010307482802
Kage,44.26783374899936
Tygo,44.24299008725591
CocoBunniez,44.20502317901582
Cat Named Virtue,44.17249073628648
